Cornell.Accession.Number,Cornell.ID,WolfID,Date.Capture.Death,Year.data.reflects,Sex,Pelt.Color,Recollared,Pack,Location.of.first.capture,Northern.Range.Pack,YNP,Previously.Vaccinated,CDV_simplified
82744-12,72,831F,2/7/2012,2011,FEMALE,BLACK,Pup,CANYON,YNP,0,1,0,16
82744-12,66,825F,2/5/2012,2011,Female,Black,Pup,COUGAR CREEK,YNP,0,1,0,8
66418-08,184,478F,1/21/2005,2004,FEMALE,BLACK,NO,COUGAR CREEK,YNP,0,1,0,12
66418-08,185,479M,1/21/2005,2004,MALE,GRAY,NO,COUGAR CREEK,YNP,0,1,0,12
66418-08,85,201F,1/15/2001,2000,FEMALE,BLACK,NO,CHIEF JOSEPH,YNP,0,1,0,512
66418-08,86,202M,1/15/2001,2000,MALE,BLACK,NO,CHIEF JOSEPH,YNP,0,1,0,6
NA,NA,203M,1/15/2001,2000,MALE,BLACK,NO,CHIEF JOSEPH,YNP,0,1,0,8
66418-08,79,191M,1/20/2000,1999,MALE,GRAY,NO,NEZ PERCE,YNP,0,1,0,6
66416-08,19,540F,1/26/2006,2005,FEMALE,GRAY,NO,HAYDEN VALLEY,YNP,0,1,0,192
66416-08,20,541M,1/26/2006,2005,MALE,GRAY,NO,HAYDEN VALLEY,YNP,0,1,0,256
66418-08,173,389M,2/12/2004,2003,MALE,BLACK,NO,COUGAR CREEK,YNP,0,1,0,12
65544-08,8,632F,1/24/2008,2007,FEMALE,GRAY,NO,COUGAR CREEK,YNP,0,1,0,32
65544-08,12,636M,1/24/2008,2007,MALE,GRAY,NO,COUGAR CREEK,YNP,0,1,0,8
66418-08,139,291M,1/8/2003,2002,MALE,GRAY,NO,COUGAR CREEK,YNP,0,1,0,16
66418-08,148,303M,2/12/2003,2002,MALE,BLACK,NO,COUGAR CREEK,YNP,0,1,0,192
66418-08,150,304M,2/12/2003,2002,MALE,BLACK,NO,COUGAR CREEK,YNP,0,1,0,192
66418-08,54,122M,1/12/1999,1998,MALE,GRAY,NO,CRYSTAL,YNP,0,1,0,6
66418-08,149,303M,1/26/2006,2005,MALE,BLACK,YES,COUGAR CREEK,YNP,0,1,0,192
66416-08,18,303M,1/26/2006,2005,MALE,BLACK,YES,COUGAR CREEK,YNP,0,1,0,128
141523-11,19,478F,2/20/2010,2009,FEMALE,BLACK,ADULT,COUGAR CREEK,YNP,0,1,0,96
141523-11,20,757F,2/20/2010,2009,FEMALE,BLACK,PUP,COUGAR CREEK,YNP,0,1,0,16
66418-08,126,256M,2/3/2002,2001,MALE,BLACK,NO,COUGAR CREEK,YNP,0,1,0,256
66418-08,127,257M,2/3/2002,2001,MALE,GRAY,NO,COUGAR CREEK,YNP,0,1,0,12
66418-08,128,258M,2/3/2002,2001,MALE,BLACK,NO,COUGAR CREEK,YNP,0,1,0,12
66418-08,172,383M,1/15/2004,2003,MALE,GRAY,NO,AGATE CREEK,YNP,1,1,0,12
66416-08,8,529F,1/19/2006,2005,FEMALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,192
66418-08,9,021M,1/6/1998,1997,MALE,BLACK,YES,DRUID PEAK,YNP,1,1,1,128
66418-08,46,104M,1/6/1998,1997,MALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,6
66418-08,48,106F,1/6/1998,1997,FEMALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,6
66417-08,3,569F,12/31/2006,2006,FEMALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,128
66417-08,4,570M,12/31/2006,2006,MALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,8
66417-08,5,571F,12/31/2006,2006,FEMALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,16
66418-08,143,295M,1/9/2003,2002,MALE,GRAY,NO,AGATE CREEK,YNP,1,1,0,12
66418-08,144,296M,1/9/2003,2002,MALE,GRAY,NO,AGATE CREEK,YNP,1,1,0,12
66418-08,179,471F,1/17/2005,2004,FEMALE,GRAY,NO,AGATE CREEK,YNP,1,1,0,6
66418-08,180,472F,1/17/2005,2004,FEMALE,BLACK,NO,AGATE CREEK,YNP,1,1,0,12
141523-11,11,775M,1/3/2011,2010,MALE,GRAY,PUP,AGATE CREEK,YNP,1,1,0,8
141523-11,29,753F,2/3/2010,2009,FEMALE,GRAY,PUP,SILVER,YNP,1,1,0,8
